sira;tistihdam;maas;iistihdam;icsaati;sbu;netsatis;mmaliyeti;katmadeger
1;18;81,3;12;25,7;49,8;1042,4;752,4;266,9
2;17,9;82,5;11,8;25,5;49,4;1051;758,9;268,7
3;17,7;84,8;11,7;25,4;50;1050,2;752,8;269,9
4;17,5;87,4;11,5;25,4;51,4;1119,7;803,6;287,8
5;17,6;90,2;11,5;25,2;52,1;1175,7;853,3;294,5
6;17,1;89,8;11;23,9;52,1;1249,1;893,6;328,7
7;16,6;90,8;10,6;23,5;52,2;1245,6;890,2;326,8
8;16;90,8;10,2;22,7;51,8;1283,5;928,1;324,7
9;16,1;96,1;10,2;22,6;53,9;1428,8;1049,9;344,8
10;16,7;105;11;23,9;61,3;1544,1;1101,6;410
11;16,6;109,6;10,9;23,5;64;1532,6;1070,9;426,6
12;17,3;119,5;11,4;24,4;70,6;1638;1134;470,2
13;17,9;130;12,1;25,3;79,8;1788,8;1243,2;515,1
14;17;132,8;11,5;23,8;81,5;1870,5;1309,3;518
15;12,5;121,6;9,7;21,2;88,1;1260,4;682,9;572,8
16;13,7;143,6;10,7;24,1;103,7;1726,1;1041,1;685,4
17;13,9;154,1;10,8;22,5;110,8;1869,3;1088,9;771,5
18;14,3;172,1;10,9;23,2;123,5;2091,2;1183,5;882
19;14,4;191,5;10,9;23,4;134,5;2405,5;1318,8;1061,2
20;15,5;220,9;11,8;24,5;155,8;2775,1;1458,8;1299,9
21;16,3;246,1;12,5;26,3;172,8;2968,3;1499,6;1452,5
22;16,3;261;12,1;24,9;175,5;2903,9;1573,1;1303,7
23;16,7;282,2;12,1;24,2;188,9;3288,7;1646,5;1626,4
24;15,2;283,6;10,7;22,1;187,7;3416,1;1655,2;1741
25;15,2;306,1;11,3;22,7;206,3;3957,8;1836,7;2129
26;15;308,2;11,1;22,1;209,7;4293,8;1997,1;2268
27;15,2;329,9;11,3;22;218,5;4417,7;1973,6;2451,1
28;14,6;347,4;10,6;20,8;223,5;4770,5;1932,6;2868,4
29;14,2;371,6;10,3;20,9;244,2;4925,2;2029,3;2933,5
30;13,4;365,8;9,9;20,5;244,2;5069,3;2296,8;2741,5
31;13,7;384,6;10,1;20,9;254,4;5956,4;2911;3088,4
32;13,2;395,1;9,8;20,1;263,6;6703,3;3149,2;3577,6
33;12,9;395,4;9,5;20;262,3;7015;3210,5;3842,2
34;12,8;405;9,6;20,6;271,4;7097,4;3467,3;3619,8
35;13,8;455,6;10,5;22,4;301,5;7023,9;3295,5;3729,9
36;14,1;477,6;10,7;23,5;323,5;7245,3;3591,7;3643
37;13,3;454,4;9,8;22,1;302,9;6938,2;3465,2;3477,5
38;13,4;464,1;9,6;22;301;7253;3961,9;3279,1
39;13,3;484,5;10,1;23,3;330,5;7572,2;4113,4;3496,6
40;14;502,2;10,6;23,4;345,4;8688,2;4402,1;4307,1
41;14,1;528,1;10,8;24;370,1;8967,1;4548,6;4396,8
42;14,2;557,5;11;24;380,3;8559,6;4324,9;4249,7
43;14,8;583,8;11,5;25,1;390;8751,4;4471,4;4283
44;14,1;568;10,7;22,7;382;9734,9;4576;5153,9
45;14,5;635;11;23,4;436,7;10662,2;4786,7;5924,7
46;14,2;627,7;11,1;23,8;436,7;11006,9;4713,7;6270
47;13;618,4;10,1;22,1;438,8;12127,9;5405,7;6722,6
48;14,5;680,8;11,2;24,5;484,6;13169,9;5829,4;7355
49;14,6;697,4;11,5;24,7;499,7;13596,6;5805,3;7804,2
50;17;792,9;13,1;28,3;553;14390,2;6917,4;7523,4
51;16,7;809,1;12,8;27,6;561,6;16997,8;7923;9077,1
52;17,1;882;13;27,7;620,5;19691;9776,6;9893,6
53;17,5;934,7;12,8;27,3;647,2;20387;10780,6;9708,4
54;16;896,9;11,5;24,6;610,3;20418,8;11323,6;9149,4
55;39,2;170,6;25,9;55,5;101,8;2194,1;1690,9;531,5
56;38,9;173,2;25,4;54,9;101,1;2212,1;1705,5;534,8
57;38,6;178;25,1;54,5;102,5;2210,3;1691,7;537,3
58;38,2;183,4;24,8;54,8;105,4;2356,7;1805,9;573,1
59;38,5;189,2;24,8;54,1;106,8;2474,4;1917,9;586,4
60;37,4;188,4;23,5;51,6;106,7;2628,7;2008,3;654,4
61;36,1;190,4;22,9;50,6;107;2621,7;2000,8;650,7
62;35,1;190,6;21,8;48,9;106,1;2701,3;2086;646,3
63;35,2;201,8;21,7;48,7;110,3;3007;2359,8;686,5
64;36,5;220,4;23,5;51,2;125,5;3250;2475,8;816,1
65;36,4;230,1;23,4;50,7;131,1;3225,6;2406,7;849,3
66;38;250,9;24,4;52,6;144,8;3447,5;2548,9;936,4
67;39,1;272,9;26;54,4;163,4;3764,6;2794,2;1025,8
68;37,2;278,8;24,8;51,2;167;3936,8;2942,5;1031,5
69;45,6;353,2;28,9;63,2;196,3;5174,1;4056,9;1140,5
70;42,7;366,6;26,4;60,6;200,5;6964,9;5666,1;1355,6
71;45,2;410,8;27,9;59,8;219,3;7934,2;6508,6;1460,5
72;44,4;427,8;27,7;59,4;225,8;7493,4;6060,1;1446,2
73;43,4;458,5;26,8;57,9;239,5;8210,2;6588,4;1668,5
74;41,1;486,8;24,7;51,2;253,5;9090,5;7474,6;1636,3
75;42,8;546,6;25,1;52,3;275,2;9213,5;7516,8;1726,3
76;41,4;552,4;25,5;54,1;296,2;10543;8501,5;2084,1
77;41,2;600,3;25,1;53,2;318,6;11120,4;9022,1;2135,3
78;39,6;606,6;23,4;51,2;325,3;11718,5;9595,9;2130,7
79;39,6;649,9;23,1;48;346;11732,3;9391,7;2338,8
80;38,3;659,8;22,7;46,3;352,7;12237,4;9843,8;2416,2
81;36,5;655,1;20,8;42,3;343,4;12387,8;9808,4;2559
82;34;633;18,9;38,5;330;10936;8413,6;2479,3
83;31,9;635,4;17,3;36,4;316,7;10217,8;7860,7;2345
84;34,4;718,7;19,4;40,6;348,2;11458,3;8863,3;2600,7
85;33,3;708,5;19,2;40,2;342,6;12779,5;10037,8;2804,4
86;34,8;764,8;19,6;41,8;377,3;13527,1;10791,8;2759,9
87;35,7;804,1;20,6;43,9;394,6;13558,4;10653,3;2916,5
88;35,7;829;21;44,1;419,2;13684,6;10863;2828,5
89;35,4;872,9;19,6;41,3;416,1;14361,4;11477,7;2873,1
90;33,7;870;19;41,2;415,3;14844,1;11058,7;3779,8
91;34,1;890,3;19;41;413,4;15050,5;10902;4145,2
92;34,1;888,5;20,2;42,8;440,5;16312,9;11411,8;4939,1
93;32,4;863,2;19,1;41,4;426,4;18059,3;14049,4;4046,7
94;32,7;976,4;19,6;39,2;500,3;19044,1;14589,4;4472,7
95;31,4;985,9;19,9;39,7;540,8;17883,8;13387,5;4405,6
96;34,1;1047,2;21,4;41,4;567,9;15930,1;12021,1;3934,1
97;34,5;1086,3;20,9;43;567;15483,8;11937,4;3622
98;35,4;1131,9;21,2;44,3;580,3;16990;12388,1;4646,5
99;32,5;1118,5;20,1;40,4;591,8;17318,2;12735,1;4649,5
100;33,2;1204;20,7;44,1;647,9;22790,6;17382,9;6148,1
101;30,1;1117,6;18,2;38,1;594,1;19793,7;13965,5;5837,1
102;29,4;1161,4;17,5;37,1;607,6;20169,5;13571,7;6635
103;29,2;1153,4;17,6;36,1;616,2;20391,1;13711,8;6666,3
104;28,9;1164,8;17,8;36,4;614,8;24220,5;17968,2;6349,6
105;29,4;1198,3;18,2;38,2;634,1;30858,9;23696,1;7322,7
106;27,7;1124,3;17,4;35,3;623,1;30064;21910,4;8177,2
107;26,6;1175,8;17,5;35,2;642,5;27759,3;21079,4;6638
